time_s,distance_m,speed,long_accel,throttle,full_throttle,brake,gear,gear_shift,rpm,drs
31.643,1824.0016497312508,194.2999936,-9.25932631358404,0.0,0,1,6,0.0,9660.5122304,0
31.723,1829.8304967588062,191.63332693333336,-9.259254587197802,0.0,0,1,6,0.0,9548.178897066668,0
31.862,1834.9989689810286,187.0,-7.642374703252358,0.0,0,0,5,-1.0,9353.0,0
31.922,1839.1211912032509,185.5,-6.944444444444343,0.0,0,0,5,0.0,9295.25,0
32.022,1843.1878578699175,183.0,-4.774305555555543,0.0,0,0,5,0.0,9199.0,0
32.082,1847.2378578699177,182.25,-3.4722222222220296,0.0,0,0,5,0.0,9131.125,0
32.182,1856.7654967588064,181.0,-3.6068541162946417,0.0,0,0,5,0.0,9018.0,0
32.461,1863.6488300921399,177.0,-2.9795945610603667,27.0,0,0,5,0.0,8757.0,0
32.462,1869.0814179108065,176.9892864,-2.9760008618639455,27.0607104,0,0,5,0.0,8758.124928,0
32.682,1875.8484134730923,174.63214354285714,-2.97619302189014,40.41785325714286,0,0,5,0.0,9005.624928,0
32.741,1880.6817468064255,174.0,-1.4153465013283864,44.0,0,0,5,0.0,9072.0,0
32.882,1886.5209134553145,175.17499946666666,2.3148152605646146,52.812496,0,0,5,0.0,9211.824936533334,0
32.981,1888.965357899759,176.0,5.179068163131888,59.0,0,0,5,0.0,9310.0,0
32.982,1896.7884134019812,176.0187488,5.208001044944095,59.046872,0,0,5,0.0,9310.1499904,0
33.301,1904.8773022908701,182.0,4.169656044941803,74.0,0,0,5,0.0,9358.0,0
33.302,1908.9473599082924,182.01499904,4.1664016563186035,73.99500032,0,0,5,0.0,9359.28991744,0
33.462,1914.0443855762035,184.41499904,4.166672164240481,73.19500032,0,0,5,0.0,9565.68991744,0
33.501,1919.1575800206479,185.0,4.030575011811862,73.0,0,0,5,0.0,9616.0,0
33.661,1924.897441131759,187.0,5.986042990546252,82.0,0,0,5,0.0,9756.0,0
33.722,1930.13424664287,188.5249984,6.944440355912064,82.30499968,0,0,5,0.0,9812.11994112,0
33.861,1934.93424664287,192.0,5.871907611774759,83.0,0,0,5,0.0,9940.0,0
33.902,1938.7103049511368,192.81999872,5.555549405139033,76.85000959999999,0,0,5,0.0,9928.52001792,0
34.002,1943.0125799228701,194.81999872,5.555559345722486,61.8500096,0,0,5,0.0,9900.52001792,0
34.061,1951.1792465895367,196.0,4.658073572436756,53.0,0,0,5,0.0,9884.0,0
34.302,1958.8349410250923,196.86071405714284,0.9920648566126147,48.69642971428571,0,0,5,0.0,10008.803538285714,0
34.341,1963.2127188028703,197.0,0.024803202184969564,48.0,0,0,5,0.0,10029.0,0
34.462,1970.8234132739815,195.70357211428572,-2.97619009997058,46.271429485714286,0,0,5,0.0,10009.121439085717,0
34.621,1975.6734132739814,194.0,2.1064738637651317,44.0,0,0,5,0.0,9983.0,0
34.642,1981.0681354784258,194.20999936,2.777770305341736,45.0499968,0,0,5,0.0,10001.374944,0
34.821,1985.968135478426,196.0,1.3965165487243212,54.0,0,0,5,0.0,10158.0,0
34.822,1991.4127188028704,196.00499968,1.3888004466823285,54.09499392,0,0,5,0.0,10158.5499648,0
35.021,2006.7075799139814,197.0,2.542569690698244,73.0,0,0,5,0.0,10268.0,0
35.381,2027.6278576917591,203.0,5.752721504332683,100.0,1,0,5,0.0,10689.0,0
35.763,2045.989816301537,212.5500032,6.944445342296859,100.0,1,0,5,0.0,11121.354690327273,0
36.003,2060.5598165148704,218.5500032,6.9444444444444,100.0,1,0,5,0.0,11392.991053963637,0
36.243,2068.606191629537,224.5500032,6.944398507034293,100.0,1,0,5,0.0,11664.6274176,0
36.261,2074.231191629537,225.0,6.770788477366729,100.0,1,0,5,0.0,11685.0,0
36.423,2087.5967227388705,228.0374976,5.20833276653336,97.30000213333334,1,0,5,0.0,11602.9875648,0
36.683,2097.8836915948705,232.9125024,5.208324870849424,92.96666453333332,0,0,5,0.0,11471.3624352,0
36.741,2103.0836915948707,234.0,-2.97310550296703,92.0,0,0,5,0.0,11442.0,0
36.843,2108.1420247504266,227.624992,-17.361094583427075,33.3499264,0,0,5,0.0,11397.374944,0
36.901,2113.119802528204,224.0,-17.99043565096565,0.0,0,1,5,0.0,11372.0,0
37.003,2122.7636910259816,216.9874912,-19.09723497431648,0.0,0,1,5,0.0,10975.155752,0
37.221,2130.619246581537,202.0,-20.448939734211535,0.0,0,1,5,0.0,10127.0,0
37.283,2136.1011907593147,197.3499904,-20.833357020413644,0.0,0,1,5,0.0,9919.60957184,0
37.421,2141.8150796482037,187.0,-14.299225022226608,0.0,0,1,5,0.0,9458.0,0
37.503,2145.9023019770925,183.9250048,-10.41666750052093,0.0,0,1,5,0.0,9799.8369664,0
37.581,2152.4384130882036,181.0,-14.58335042735061,0.0,0,1,5,0.0,10125.0,0
37.763,2157.94091271487,165.0749888,-24.305519009726027,0.0,0,1,5,0.0,10557.250304,0
37.821,2166.3853571593145,160.0,-22.122500014610555,0.0,0,1,4,-1.0,10695.0,0
38.143,2173.826190620687,148.4044346866588,-10.003093855842394,0.0,0,1,4,0.0,10042.080476202633,0
38.182,2176.276190620687,147.0,-14.42569488771693,0.0,0,1,3,-1.0,9963.0,0
38.263,2180.1682741051313,140.11500544,-23.611105153831843,0.0,0,1,3,0.0,9622.8002688,0
38.382,2185.2057741051312,130.0,-22.42633145587969,0.0,0,1,3,0.0,9123.0,0
38.542,2191.433551882909,118.0,-15.960038986354455,0.0,0,1,3,0.0,8323.0,0
38.762,2195.1224407717978,110.66666666666669,-9.25925925926117,0.0,0,1,3,0.0,7446.666666666667,0
38.782,2198.483551882909,110.0,-9.427609427611348,0.0,0,1,3,0.0,7367.0,0
38.982,2203.0168852162424,102.0,-9.002629902347621,0.0,0,1,3,0.0,7037.0,0
39.102,2207.936051912621,98.65738221149732,-7.737541869672633,0.0,0,1,3,0.0,6815.384440622272,0
39.341,2211.5138296903992,92.0,-5.084710812509684,0.0,0,1,3,0.0,6374.0,0
39.382,2214.557718614844,91.31666773333332,-4.629623891817069,0.0,0,1,3,0.0,6308.9126016,0
39.581,2217.246607503733,88.0,-5.467156544242698,0.0,0,0,3,0.0,5993.0,0
39.602,2219.679385317066,87.58000128,-5.555540610683929,0.0,0,0,3,0.0,5961.18509696,0
39.781,2222.7127186503994,84.0,-4.773211113129179,0.0,0,0,3,0.0,5690.0,0
39.862,2227.767302045955,82.71136465454545,-4.419189215307144,0.0,0,0,3,0.0,5627.409140363637,0
40.221,2231.831190934844,77.0,-1.3376606310331454,0.0,0,0,3,0.0,5350.0,0
40.242,2234.3949409437328,76.91250026666667,-1.1574042183082796,1.3999957333333333,0,0,3,0.0,5414.5748032,0
40.461,2237.1393853881773,76.0,1.4887285141201687,16.0,0,0,3,0.0,6088.0,0
40.502,2240.106329814844,76.29285668571428,1.9841244182673812,16.0,0,0,3,0.0,6063.107181714286,0
40.741,2243.356329814844,78.0,2.774468519864911,16.0,0,0,3,0.0,5918.0,0
40.802,2246.415079788177,78.65357074285714,2.9761882233842627,17.5249984,0,0,3,0.0,5964.621379657143,0
41.021,2249.565079788177,81.0,3.9073096954484754,23.0,0,0,3,0.0,6132.0,0
41.082,2251.840496428177,81.91499904,4.16666421354725,24.82999808,0,0,3,0.0,6208.55491968,0
41.221,2254.407163094844,84.0,3.4841461913726164,29.0,0,0,3,0.0,6383.0,0
41.302,2257.720621400424,84.89999928888889,3.0864180173904856,31.24999822222222,0,0,3,0.0,6495.049911466666,0
41.502,2261.09660748398,87.1222215111111,3.08642154548113,36.805553777777774,0,0,3,0.0,6771.716578133333,0
41.581,2263.7854963728687,88.0,4.471801817438276,39.0,0,0,3,0.0,6881.0,0
41.722,2267.344801866202,91.5249984,6.944444489798386,44.5392832,0,0,3,0.0,7037.107072,0
41.861,2271.052440755091,95.0,8.089500933562192,50.0,0,0,3,0.0,7191.0,0
42.003,2276.039107635091,99.7333376,9.259262169004444,54.3388928,0,0,3,0.0,7461.194688,0
42.221,2280.4974409684246,107.0,10.100295340245111,61.0,0,0,3,0.0,7876.0,0
42.303,2284.808711613758,110.0749952,10.416655134636372,64.33124480000001,0,0,3,0.0,8169.405792,0
42.503,2288.695218399536,117.5749952,10.416696152145732,72.45624480000001,0,0,3,0.0,8885.030792,0
42.541,2292.6618850662026,119.0,10.966463323876958,74.0,0,0,3,0.0,9021.0,0
42.743,2299.1168847462027,129.0999936,13.888891339766673,84.0999936,0,0,3,0.0,9762.788418844444,0
42.901,2306.7279958573135,137.0,10.362108945579322,92.0,0,0,3,0.0,10343.0,0
43.143,2312.223829101758,141.3214262857143,4.96033154511656,98.91428205714286,1,0,3,0.0,11005.04250697143,0
43.181,2314.984940212869,142.0,8.012111418914458,100.0,1,0,3,0.0,11109.0,0
43.283,2319.9166071284244,147.95000746666668,16.203709008240736,100.0,1,0,3,0.0,11204.200119466666,0
43.421,2326.849940461758,156.0,15.954133922451703,100.0,1,0,3,0.0,11333.0,0
43.603,2334.238274115091,166.2375072,15.62499649625741,100.0,1,0,3,0.0,10991.74976,0
43.741,2342.4066074484244,174.0,13.782042706457474,100.0,1,0,3,0.0,10733.0,0
43.941,2350.0404963373135,182.0,11.800966685423475,100.0,1,0,4,1.0,10968.0,0
44.043,2354.184107572869,186.4625056,12.152766208399271,100.0,1,0,4,0.0,11280.375392,0
44.101,2356.284107572869,189.0,3.3420065134098422,100.0,1,0,4,0.0,11458.0,0
44.123,2361.534107572869,189.0,-5.684341886080802e-14,100.0,1,0,4,0.0,11469.99006976,0
44.301,2368.359107572869,189.0,6.867273230954538,100.0,1,0,4,0.0,11567.0,0
44.383,2376.4108095394863,191.9611064888889,10.030855960382794,100.0,1,0,4,0.0,11357.672548977778,0
44.603,2384.1293853352395,199.90556017777777,10.030849114202283,100.0,1,0,4,0.0,10796.060784355555,0
44.661,2391.984940890795,202.0,9.924791128730888,100.0,1,0,5,1.0,10648.0,0
44.883,2401.3299411539724,209.6074825385635,9.518855482260278,100.0,1,0,5,0.0,10935.701157822035,0
44.982,2407.2170244873055,213.0,9.389705910919133,100.0,1,0,5,0.0,11064.0,0
45.082,2413.2262837465646,216.33333333333337,9.259259259259068,100.0,1,0,5,0.0,11188.583333333334,0
45.182,2417.497580042861,219.66666666666663,9.259259259259352,100.0,1,0,5,0.0,11313.166666666666,0
45.222,2424.8642467095274,221.0,8.873456790124024,100.0,1,0,5,0.0,11363.0,0
45.422,2433.0253578206384,226.0,5.608974358974365,100.0,1,0,5,0.0,11563.0,0
45.482,2438.072580042861,227.125,5.208333333333144,100.0,1,0,5,0.0,11673.625,0
45.582,2446.342024487305,229.0,3.7420004286345545,100.0,1,0,5,0.0,11858.0,0
45.742,2452.693552257936,229.8040198419233,1.3958696228492045,100.0,1,0,5,0.0,11745.437222130742,0
45.781,2460.3282744801586,230.0,2.527924746252033,100.0,1,0,5,0.0,11718.0,0
45.981,2472.816607813492,236.0,7.083488458970237,100.0,1,0,6,1.0,10731.0,0
46.162,2482.1452188712697,239.87857005714287,5.95238269567534,100.0,1,0,6,0.0,10862.871381942858,0
46.261,2487.5229966490474,242.0,5.952378555263749,100.0,1,0,6,0.0,10935.0,0
46.322,2496.9849410401584,243.30714148571428,5.95237644676881,100.0,1,0,6,0.0,10927.157151085714,0
46.541,2505.251607706825,248.0,-5.81595275784548,100.0,1,0,6,0.0,10899.0,0
46.562,2514.910007074825,247.4750016,-6.944424862076328,94.750016,0,0,6,0.0,10874.22007552,0
46.822,2527.5946634090474,240.9750016,-6.944447006595055,29.750016,0,0,6,0.0,10567.42007552,0
46.941,2536.850218964603,238.0,-6.452547466136366,0.0,0,1,6,0.0,10427.0,0
47.102,2544.6717467868248,234.64583466666667,-5.787039424832528,0.0,0,1,6,0.0,10152.629275733334,0
47.181,2553.7004967868247,233.0,-7.687843530659109,0.0,0,1,6,0.0,10018.0,0
47.381,2561.1982745646023,224.0,-14.805189983021137,0.0,0,1,6,0.0,9620.0,0
47.422,2566.772697569758,221.74500352,-15.277759331627365,0.0,0,1,6,0.0,9768.21476864,0
47.562,2571.4995247308248,214.04500352,-15.27782309021677,0.0,0,1,6,0.0,10274.31476864,0
47.581,2579.161608064158,213.0,-15.430656867389953,0.0,0,1,6,0.0,10343.0,0
47.821,2586.889108064158,198.0,-15.38402501711721,0.0,0,1,5,-1.0,10843.0,0
47.862,2593.415080401936,195.77917013333337,-15.046277648403127,0.0,0,1,5,0.0,10853.079150933334,0
48.061,2602.6393859574914,185.0,-16.32944092690866,0.0,0,1,4,-1.0,10902.0,0
48.221,2606.5525804019358,175.0,-8.733919944752415,0.0,0,1,4,0.0,10885.0,0
48.222,2610.4407748908247,174.968752,-8.680003494017468,0.0,0,1,4,0.0,10888.9747456,0
48.381,2619.436608224158,170.0,-12.786168638206831,0.0,0,1,4,0.0,11521.0,0
48.603,2624.609941273047,155.19999146666666,-18.51839750861882,0.0,0,1,4,0.0,10958.599675733334,0
48.621,2630.171052384158,154.0,-18.266563901342746,0.0,0,1,3,-1.0,10913.0,0
48.863,2635.655774873047,141.03572114285714,-14.880994635347633,0.0,0,1,3,0.0,10077.236156342857,0
48.901,2639.478274873047,139.0,-13.357824696420138,0.0,0,1,3,0.0,9946.0,0
49.061,2644.765774873047,135.0,-7.929466857858955,0.0,0,1,3,0.0,9896.0,0
49.183,2647.681052739714,131.187504,-8.680575687854116,0.0,0,1,3,0.0,9042.000896,0
49.221,2653.0977194063803,130.0,-9.842949921538944,0.0,0,1,3,0.0,8776.0,0
49.483,2657.498274641936,113.15713462857144,-17.857024597115696,0.0,0,1,3,0.0,9368.307432228572,0
49.501,2660.9204968641584,112.0,-17.24825948880548,0.0,0,1,3,0.0,9409.0,0
49.703,2664.4013303574916,104.4250048,-10.41669515372655,0.0,0,1,3,0.0,8835.8253632,0
49.741,2668.378274801936,103.0,-9.467456350709718,0.0,0,1,2,-1.0,8728.0,0
49.981,2672.017163690825,100.0,-13.014280977717135,0.0,0,1,2,0.0,7854.0,0
50.003,2674.517135751269,98.8999936,-13.888959928960752,0.0,0,1,2,0.0,7805.37971712,0
50.163,2676.764385593047,90.8999936,-13.888800110971715,0.0,0,1,2,0.0,7451.77971712,0
50.181,2678.989385593047,90.0,-13.537676515466291,0.0,0,1,2,0.0,7412.0,0
50.341,2682.0460522597136,84.0,-6.411392081099592,0.0,0,1,2,0.0,7058.0,0
50.443,2685.7393623653925,82.58333155555556,-3.8580265770877453,0.0,0,1,2,0.0,6955.433204622223,0
50.663,2688.5891077994665,79.52777955555555,-3.8580351115302847,0.0,0,1,2,0.0,6734.2112398222225,0
50.701,2690.5641077994665,79.0,-3.6718705087063093,0.0,0,0,2,0.0,6696.0,0
50.843,2693.577163301689,77.47857005714286,-2.9761903984292246,0.0,0,0,2,0.0,6545.885578971429,0
50.981,2697.1449410794667,76.0,-2.3281189639049558,0.0,0,0,2,0.0,6400.0,0
51.181,2701.3220244128,75.0,-2.7639752194968565,12.0,0,0,2,0.0,6442.0,0
51.382,2706.1320244128,72.0,-1.1697465055674137,21.0,0,0,3,1.0,5692.0,0
51.662,2710.0903577461336,75.0,2.062447786131969,23.0,0,0,3,0.0,5700.0,0
51.762,2713.451468857245,75.625,1.7361111111111214,25.1875,0,0,3,0.0,5782.5,0
51.982,2717.9431355239117,77.0,3.944633408919067,30.0,0,0,3,0.0,5964.0,0
52.182,2721.1042466350227,81.28571428571429,5.952380952380992,40.0,0,0,3,0.0,6259.0,0
52.262,2723.870913301689,83.0,8.019179894180056,44.0,0,0,3,0.0,6377.0,0
52.422,2726.620913301689,90.0,8.941696613640772,44.0,0,0,3,0.0,6657.0,0
52.482,2728.658053499339,91.67130889425134,7.737541177089341,47.84401045677808,0,0,3,0.0,6848.030606612928,0
52.582,2732.5806354842953,94.45682371800358,7.73754200934885,54.250694551408216,0,0,3,0.0,7166.414950967808,0
52.781,2735.9139688176288,100.0,13.55777771133603,67.0,0,0,3,0.0,7800.0,0
52.822,2739.9017538411845,102.1781216,14.75692477022509,68.4093728,0,0,3,0.0,7911.8529504,0
53.062,2744.3552185531844,114.9281216,14.756965275862854,76.6593728,0,0,3,0.0,8566.6029504,0
53.101,2747.930218553184,117.0,14.479974904620278,78.0,0,0,3,0.0,8673.0,0
53.282,2754.907857273184,125.59749696,13.194443634916311,82.97749824,0,0,3,0.0,9196.08981504,0
53.501,2759.4411906065175,136.0,11.715824631924306,89.0,0,0,3,0.0,9829.0,0
53.522,2763.262284282073,136.87499733333334,11.57404248598235,89.5249984,0,0,3,0.0,9940.212161066667,0
53.702,2767.6536904509617,144.37499733333334,11.574089685048307,94.0249984,0,0,3,0.0,10893.462161066667,0
53.741,2775.744523784295,146.0,11.875771337174449,95.0,0,0,3,0.0,11100.0,0
54.101,2785.3924404509617,165.0,12.21920585377768,100.0,1,0,3,0.0,10442.0,0
54.162,2794.703134744295,167.59249728,11.805545398176317,100.0,1,0,3,0.0,10544.78489216,0
54.501,2803.2975791887393,182.0,3.496510464050516,100.0,1,0,4,1.0,11116.0,0
54.502,2809.364662495406,182.0124992,3.4720009297881993,100.0,1,0,4,0.0,11117.4290752,0
54.741,2815.5313291620723,185.0,12.692089818730892,100.0,1,0,4,0.0,11459.0,0
54.742,2821.699523508739,185.0458304,12.73067007596894,100.0,1,0,4,0.0,11460.0332672,0
54.981,2830.9550790642943,196.0,7.96617094153828,100.0,1,0,4,0.0,11707.0,0
55.082,2838.66146789985,198.16428434285712,5.952379308800829,100.0,1,0,4,0.0,11335.103807085714,0
55.261,2845.98396789985,202.0,9.01408366043654,100.0,1,0,5,1.0,10676.0,0
55.343,2855.098412130961,205.0749952,10.416656008744894,100.0,1,0,5,0.0,10772.8623488,0
55.581,2862.826189908739,214.0,9.35724351987983,100.0,1,0,5,0.0,11054.0,0
55.603,2869.9839678287385,214.7333376,9.25930769468411,100.0,1,0,5,0.0,11087.5501952,0
55.821,2882.872301162072,222.0,8.05200874022708,100.0,1,0,5,0.0,11420.0,0
56.021,2890.5020233842943,227.0,5.7965883947699695,100.0,1,0,5,0.0,11617.0,0
56.063,2896.830912202072,227.83999744,5.555543125041908,100.0,1,0,5,0.0,11577.52012032,0
56.221,2901.964245535405,231.0,4.640911167352897,100.0,1,0,5,0.0,11429.0,0
56.223,2909.087773247405,231.0333312,4.629336051192604,100.0,1,0,5,0.0,11422.7170688,0
56.443,2916.8459122068125,234.70000213333333,4.629599605138992,100.0,1,0,5,0.0,10731.549597866666,0
56.461,2924.679245540146,235.0,4.629599377154989,100.0,1,0,6,1.0,10675.0,0
56.683,2936.614245646813,238.70000213333333,4.629628004816482,100.0,1,0,6,0.0,10819.3000832,0
56.821,2947.325356757924,241.0,4.9367869271650875,100.0,1,0,6,0.0,10909.0,0
57.003,2963.693273589377,244.5000024615385,5.341880958993258,100.0,1,0,6,0.0,11026.950082953848,0
57.303,2975.4420234738213,250.26922830769232,5.341895800137991,100.0,1,0,6,0.0,11221.372993969231,0
57.341,2980.322579029377,251.0,5.148569835178705,100.0,1,0,6,0.0,11246.0,0
57.443,2992.9575791360435,252.70000213333333,4.629633142490519,100.0,1,0,6,0.0,11302.950071466666,0
57.701,3006.5214680249323,257.0,3.248936570730848,100.0,1,0,6,0.0,11447.0,0
57.823,3017.349014713263,258.14018594695295,2.5960543836392844,100.0,1,0,6,0.0,11508.18997915314,0
58.003,3024.530218032907,259.82243166553155,2.5960311389562776,100.0,1,0,6,0.0,11598.470499383526,0
58.022,3034.605218032907,260.0,2.689477342793495,100.0,1,0,6,0.0,11608.0,0
58.282,3044.8607735884625,263.7142857142857,3.968253968253066,100.0,1,0,6,0.0,10616.285714285714,0
58.302,3053.6607735884627,264.0,3.7340167548491223,100.0,1,0,6,0.0,10540.0,0
58.522,3062.4913291440184,264.9166666666667,1.1574074074078453,100.0,1,0,6,0.0,10603.25,0
58.542,3067.6441069217963,265.0,1.4880952380952834,100.0,1,0,7,1.0,10609.0,0
58.662,3079.4885513662407,266.5,3.472222222222115,100.0,1,0,7,0.0,10651.375,0
58.862,3096.674662477352,269.0,3.0983558970966243,100.0,1,0,7,0.0,10722.0,0
59.122,3108.7011902333948,271.4451405752696,2.6123319840435215,100.0,1,0,7,0.0,10842.626935046634,0
59.181,3116.9745235667283,272.0,2.376272862370371,100.0,1,0,7,0.0,10870.0,0
59.341,3130.662440233395,273.0,1.9925999605950722,100.0,1,0,7,0.0,10884.0,0
59.542,3139.818273548951,274.6749994666667,2.314817876429288,100.0,1,0,7,0.0,10987.849966933334,0
59.581,3145.165495771173,275.0,2.2503330605489964,100.0,1,0,7,0.0,11008.0,0
59.682,3157.4596842914398,275.75749952,2.083332428570017,100.0,1,0,7,0.0,11025.6749888,0
59.902,3168.9798012853953,277.40749952,2.0833345751660772,100.0,1,0,7,0.0,11064.1749888,0
59.981,3179.018690174284,278.0,2.2943384833438643,100.0,1,0,7,0.0,11078.0,0
60.162,3186.791190156506,279.80999936,2.7777861523054526,100.0,1,0,7,0.0,11118.7249856,0
60.181,3197.6800790453954,280.0,2.7239315912844475,100.0,1,0,7,0.0,11123.0,0
60.442,3208.6414679165064,281.86428525714285,1.9841331809730036,100.0,1,0,7,0.0,11154.69284937143,0
60.461,3215.6523012498396,282.0,1.9578072509024196,100.0,1,0,7,0.0,11157.0,0
60.621,3229.055495694284,283.0,1.5731913629253427,100.0,1,0,7,0.0,11152.0,0
60.802,3236.9417456853953,283.90499968,1.3888930761518168,100.0,1,0,7,0.0,11197.249984,0
60.821,3244.041745685395,284.0,0.8757759351674252,100.0,1,0,7,0.0,11202.0,0
60.982,3253.4413290453954,281.9875008,-3.4722236548994942,32.91669333333333,0,0,7,0.0,11138.270858666669,0
61.061,3267.4523012676177,281.0,-4.454615980026141,0.0,0,0,7,0.0,11107.0,0
61.341,3278.8652179342844,273.0,-8.090293261146144,0.0,0,0,7,0.0,10538.0,0
61.362,3287.2260009776915,272.38750186666664,-8.101829506731569,0.0,0,0,7,0.0,10508.8625888,0
61.562,3295.3336902705805,266.5541685333333,-8.101876774633638,0.0,0,0,7,0.0,10231.3625888,0
61.581,3304.902301381692,266.0,-9.375472163891601,0.0,0,1,7,0.0,10205.0,0
61.821,3317.8478569372473,244.0,-18.191301253321853,0.0,0,1,7,0.0,9544.0,0
61.963,3323.1123012394696,236.8999936,-13.888802643018607,0.0,0,1,7,0.0,10033.0129408,0
61.981,3331.568967906136,236.0,-14.292543784093965,0.0,0,1,7,0.0,10095.0,0
62.221,3343.7356345728026,219.0,-23.495370370370125,0.0,0,1,7,0.0,10520.0,0
62.381,3350.592301239469,204.0,-22.598118994825995,0.0,0,1,6,-1.0,10541.0,0
62.463,3358.8910099754694,197.8500096,-20.833316225410165,0.0,0,1,6,0.0,10560.7312192,0
62.683,3364.885634658136,181.3499904,-20.8331982231266,0.0,0,1,6,0.0,10613.6687808,0
62.701,3369.885634658136,180.0,-19.833199133902447,0.0,0,1,5,-1.0,10618.0,0
62.883,3374.7086900892473,173.62999552,-9.722159924026528,0.0,0,1,5,0.0,10205.76971008,0
62.901,3383.7911900892473,173.0,-9.4429088771309,0.0,0,1,4,-1.0,10165.0,0
63.261,3392.7045234225807,168.0,-4.585217033629306,0.0,0,0,4,0.0,9718.0,0
63.283,3396.9419215168027,167.6333312,-4.629653309653349,0.0,0,0,4,0.0,9700.583232,0
63.443,3401.936745526284,164.96666453333333,-4.629622130830512,0.0,0,0,4,0.0,9573.916565333331,0
63.501,3406.9023010818396,164.0,-4.78358917126539,0.0,0,0,4,0.0,9528.0,0
63.661,3411.8664677485062,161.0,-4.457588782330731,0.0,0,0,4,0.0,9303.0,0
63.723,3416.3128565840616,160.06999808,-4.166671404082948,0.31000064,0,0,4,0.0,9266.72992512,0
